"code_id","code_header_id","code_name","code_description","code_sort_order","valid_from","valid_to","created_at","updated_at","created_by_user_id","updated_by_user_id","code_description_long","custom_1"
1038,139,WeGS,Wells Gray South,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 12}"
1039,139,Bark,Barkerville,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 13}"
1040,139,NoCa,North Cariboo,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 14}"
1041,139,NaLa,Narrow Lake,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 15}"
1042,139,GeMo,George Mtn,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 16}"
1043,139,HaRa,Hart Ranges,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 17}"
1044,139,Narr,Narraway,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 18}"
1045,139,Quin,Quintette,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 19}"
1046,139,KeSi,Kennedy Siding,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 20}"
477,139,CAR-17,Hart Ranges,,2021-03-02 00:00:00,2021-08-26 09:01:26,2021-03-02 16:34:49,2021-03-02 16:34:49,1,,,
478,139,CAR-46,Horseranch,,2021-03-02 00:00:00,2021-08-26 09:01:26,2021-03-02 16:34:49,2021-03-02 16:34:49,1,,,
480,139,CAR-20,Kennedy Siding,,2021-03-02 00:00:00,2021-08-26 09:01:26,2021-03-02 16:34:49,2021-03-02 16:34:49,1,,,
481,139,CAR-49,Level-Kawdy,,2021-03-02 00:00:00,2021-08-26 09:01:26,2021-03-02 16:34:49,2021-03-02 16:34:49,1,,,
482,139,CAR-45,Liard Plateau,,2021-03-02 00:00:00,2021-08-26 09:01:26,2021-03-02 16:34:49,2021-03-02 16:34:49,1,,,
340,2,CARI,Caribou,,2020-10-27 00:00:00,2021-03-19 16:01:44,2020-10-29 14:01:45,2020-10-29 14:01:45,1,,,
1047,139,BuPi,Burnt Pine,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 21}"
1048,139,Mobe,Moberly,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 22}"
1049,139,Scot,Scott,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 23}"
1050,139,Grah,Graham,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 24}"
1051,139,Chin,Chinchaga,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 25}"
1052,139,SnSa,Snake-Sahtaneh,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 26}"
1053,139,WSFN,Westside Fort Nelson,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 27}"
1054,139,Maxh,Maxhamish,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 28}"
1055,139,Cale,Calendar,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 29}"
1056,139,ItIl,Itcha-Ilgachuz,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 30}"
1057,139,ChAl,Charlotte Alplands,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 31}"
1058,139,Rain,Rainbows,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 32}"
1059,139,Twee,Tweedsmuir,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 33}"
1060,139,Telk,Telkwa,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 34}"
1061,139,Takl,Takla,,2021-08-26 09:02:11,,2021-08-26 09:02:11,2021-08-26 09:02:11,,,,"{""popunit_id"": 35}"
