BCTW,dbtable,dbfield,type,codeheader
Region,animal,region,code,1
Species,animal,species,code,
Caribou Population Unit,animal,population_unit,code,139
WLH ID,animal,wlh_id,,
Animal ID,animal,animal_id,,
Sex,animal,sex,code,181
Life Stage,animal,life_stage,code,179
Calf at Heel,animal,juvenile_at_heel,code,177
Ear Tag Right,animal,ear_tag_right_id,,
Ear Tag Left,animal,ear_tag_left_id,,
Re-capture,animal,recapture,bool,
Trans-location,animal,translocation,bool,
Capture Date,animal,capture_date,,
Capture UTM Zone,animal,capture_utm_zone,,
Capture UTM Easting,animal,capture_utm_easting,,
Capture UTM Northing,animal,capture_utm_northing,,
Capture Latitude,animal,capture_latitude,,
Capture Longitude,animal,capture_longitude,,
Release Date,animal,release_date,,
Animal Status,animal,animal_status,code,3
Mortality Date,animal,mortality_date,,
Mortality UTM Zone,animal,mortality_utm_zone,,
Mortality UTM Easting,animal,mortality_utm_easting,,
Mortality UTM Northing,animal,mortality_utm_northing,,
Mortality Latitude,animal,mortality_latitude,,
Mortality Longitude,animal,mortality_longitude,,
Mortality Review,animal,mortality_comment,,
Comments,animal,animal_comment,,
Collar Make,animal,device_make,code,4
Deployed,animal,device_deployment_status,code,178
Collar Status Details,,device_status,code,144
Malfunction Type,,device_malfunction_type,code,180
Reg_Key,animal,,bool,
Malfunction Date,animal,malfunction_date,,
Retrieval Date,animal,retrieval_date,,
Device ID,animal,device_id,,
