DataField,DataFieldDescription,CodeforinDataField,BCTWCode,Coded,CodeMeaning
WLH ID,"A unique identifier assigned to an individual,  independent of possible changes in mark method used. This field is mandatory if there is telemetry data for the individual.  Field is numeric.

",99-xxxx,99-xxxx,,This is a temporary WLH ID  for individuals that may have a previously assigned WLH ID.  The primary key WLH ID will then be assigned to the indiviudal.  
Life Stage,,A,Adult,y,Adult
Collar Status Details,,Active,Active,y,Collar/device is transmitting signals
Animal Status,,Alive,Alive,y,Animal is alive
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Atlin,Atlin,y,
Collar Make,The manufacturer of the collar/device,ATS,ATS,y,Advanced Telemetry Systems 
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Barkerville,Barkerville,y,
Malfunction Type,,Both,Both,y,Both GPS and VHF 
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Burnt Pine,Burnt Pine,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Calendar,Calendar,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Carcross,Carcross,y,
Region,,Cariboo,Cariboo,y,
Species,,Caribou,M-RATA,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Central Purcells,Purcell Central,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Central Rockies,Central Rockies,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Central Selkirks,Central Selkirks,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Charlotte Alplands,Charlotte Alplands,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Chase,Chase,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Chinchaga,Chinchaga,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Columbia North,Columbia North,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Columbia South,Columbia South,y,
Species,,Cougar,M-PUCO,y,
Malfunction Date,Date collar/device confirmed as malfunction status,dd-mmm-yyyy,yyyy-mm-dd,,
Max Transmission Date,"Last Transmission specific to the animal (filtered by Mortality Date, Malfunction Date, Collar Retrieval Date)",dd-mmm-yyyy,yyyy-mm-dd,,
Mortality Date,Date animal died,dd-mmm-yyyy,yyyy-mm-dd,,
Mortality Email Date,Date of the last Mortality Email sent by the Manufacturer,dd-mmm-yyyy,yyyy-mm-dd,,
Release Date,"Date the animal was released following catpure.  Gernerally, an animal is captured, collared and released at the same location on the same date.  However, translocated animals will have a capture date that differs from the release date, with the release date correspodnign to release at the new destination, be it a hard release into caribou habitat or a soft release into a temporary holding pen.",dd-mmm-yyyy,yyyy-mm-dd,,
Retrieval Date,Date collar/device retrieved from animal,dd-mmm-yyyy,yyyy-mm-dd,,"Collar Retrieval Date= The earliest date in which the 1) the collar/device was removed from animal, 2) the collar/device was retrieved from the field, or 3) the date an animal with an existing collar/device was recaptured for translocation."
Capture Date,,dd-mmm-yyyy ,dd-mmm-yyyy,,Date animal was captured
Deployed,,Deployed,Deployed,y,Collar is deployed on an animal.
Malfunction Type,,Dropped,Dropped,y,Collar dropped by critter
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Edziza,Edziza,y,
Sex,Animal gender,F,Female,y,female
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Finlay,Finlay,y,
Collar Make,The manufacturer of the collar/device,Followit,Followit,y,Followit Sweden AB (formerly called Televilt)
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Frisby-Boulder,Frisby-Boulder,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Frog,Frog,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Gataga,Gataga,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),George Mountain,George Mtn,y,
Satellite Network,"Satellite Network of GPS collar, Iridium or Globalstar. Globalstar collars ship ACTIVE from the manufacturing plant however, Iridium collars ship INACTIVE from the manufacturing plant and require the user to request activation",Globalstar,Globalstar,y,
Collar Type,The type of device/collar used to mark the animal.,GPS,GPS,y,
Malfunction Type,,GPS,GPS,y,GPS Only
Satellite Network,"Satellite Network of GPS collar, Iridium or Globalstar. Globalstar collars ship ACTIVE from the manufacturing plant however, Iridium collars ship INACTIVE from the manufacturing plant and require the user to request activation",GPS,Blank,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Graham,Graham,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Groundhog,Groundhog,y,
Satellite Network,"Satellite Network of GPS collar, Iridium or Globalstar. Globalstar collars ship ACTIVE from the manufacturing plant however, Iridium collars ship INACTIVE from the manufacturing plant and require the user to request activation",GSM,Blank,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Hart Ranges,Hart Ranges,y,
Caribou Population Unit,CARIBOU_POPULATION_UNIT_NAME is the name of the caribou population (herd),Horseranch,Horseranch,y,
Satellite Network,"Satellite Network of GPS collar, Iridium or Globalstar. Globalstar collars ship ACTIVE from the manufacturing plant however, Iridium collars ship INACTIVE from the manufacturing plant and require the user to request activation",Iridium,Iridium,y,
